country,continent,year,pop,gdpPercap,lifeExp
ALBANY (NEAR),US,2008,1,2400.0,2400.0
ALBANY (NEAR),US,2014,1,60.0,60.0
ALBANY (WESTERN AUSTRALIA),AU,1999,1,600.0,600.0
ALBANY (WESTERN AUSTRALIA),AU,2005,1,0.0,0.0
ALBEMARLE,US,1999,1,1200.0,1200.0
ALBEMARLE,US,2009,1,5.0,5.0
ALBEMARLE,US,2013,1,600.0,600.0
ALBERT LEA,US,2001,1,,
ALBERT LEA,US,2004,1,360.0,360.0
ALBERT LEA,US,2006,1,20.0,20.0
ALBERT LEA,US,2014,1,15.0,15.0
ALBERTON,US,1999,2,1950.0,3600.0
ALBERTSON,US,1999,1,0.0,0.0
ALBERTVILLE,US,2012,1,3600.0,3600.0
ALBIA,US,2004,1,600.0,600.0
ALBIA,US,2007,1,8.0,8.0
ALBION,US,1999,1,900.0,900.0
ALBION,US,2000,1,,
ALBION,US,2001,2,300.0,300.0
ALBION,US,2004,2,1800.0,3600.0
ALBION,US,2005,1,120.0,120.0
ALBION,US,2008,1,0.0,0.0
ALBION,US,2009,1,,
ALBION,US,2012,2,3630.0,7200.0
ALBION,US,2013,2,180.0,180.0
ALBION (RURAL),US,2005,1,,
ALBRIGHTSVILLE,US,2001,1,600.0,600.0
ALBRIGHTSVILLE,US,2003,1,180.0,180.0
ALBRIGHTSVILLE,US,2013,1,10.0,10.0
ALBUQUERQUE,US,1998,2,31.5,60.0
ALBUQUERQUE,US,1999,12,187.1818181818182,600.0
ALBUQUERQUE,US,2000,9,762.8571428571429,3600.0
ALBUQUERQUE,US,2001,7,2700.0,7200.0
ALBUQUERQUE,US,2002,8,600.0,600.0
ALBUQUERQUE,US,2003,9,945.0,2700.0
ALBUQUERQUE,US,2004,16,675.6,3600.0
ALBUQUERQUE,US,2005,14,270.8333333333333,600.0
ALBUQUERQUE,US,2006,12,108.36363636363636,300.0
ALBUQUERQUE,US,2007,13,1042.5,7200.0
ALBUQUERQUE,US,2008,16,180.53333333333333,900.0
ALBUQUERQUE,US,2009,13,209.28571428571428,1200.0
ALBUQUERQUE,US,2010,9,910.8333333333334,2400.0
ALBUQUERQUE,US,2011,14,162162.84615384616,2102400.0
ALBUQUERQUE,US,2012,20,308.375,2700.0
ALBUQUERQUE,US,2013,36,804.9285714285714,7200.0
ALBUQUERQUE,US,2014,19,729.7894736842105,7200.0
ALBUQUERQUE (20 MILES EAST OF),US,2004,1,,
ALBUQUERQUE (30-60 MILES WEST OF CITY),US,1999,1,240.0,240.0
ALBUQUERQUE (MANZANO MOUNTAINS),US,2013,1,1800.0,1800.0
ALBUQUERQUE (NEAR),US,2010,1,180.0,180.0
ALBUQUERQUE (NEAR),US,2012,1,,
ALBUQUERQUE (OUTSIDE OF),US,2000,1,,
ALBUQUERQUE (OVER&#44 FROM TENT ROCKS),US,1999,1,8280.0,8280.0
ALBUQUERQUE (SOUTHEAST),US,2013,1,,
ALBURTIS,US,2012,1,15.0,15.0
ALBURY (NSW&#44 AUSTRALIA),AU,2002,3,300.0,300.0
ALCALDE,US,2004,1,3300.0,3300.0
ALCALDE,US,2012,1,0.0,0.0
ALCOVA,US,2013,1,7.0,7.0
ALDEN,US,1999,1,1200.0,1200.0
ALDEN,US,2004,1,0.0,0.0
ALDEN,US,2013,1,,
ALDERGROVE (CANADA),CA,2000,2,10.0,10.0
ALDERSHOT (UK/ENGLAND),GB,2007,1,60.0,60.0
ALDERSHOT (UK/ENGLAND),GB,2008,1,240.0,240.0
ALEDO,US,2001,1,60.0,60.0
ALEDO,US,2004,1,600.0,600.0
ALEDO,US,2007,1,2.0,2.0
ALEDO,US,2011,1,60.0,60.0
ALEDO,US,2012,1,0.0,0.0
ALEXANDER,US,2009,1,900.0,900.0
ALEXANDRIA,US,1998,1,60.0,60.0
ALEXANDRIA,US,1999,1,120.0,120.0
ALEXANDRIA,US,2001,2,17.5,30.0
ALEXANDRIA,US,2002,2,30.5,60.0
ALEXANDRIA,US,2003,7,305.25,1200.0
ALEXANDRIA,US,2004,13,171.83333333333334,900.0
ALEXANDRIA,US,2005,1,120.0,120.0
ALEXANDRIA,US,2006,5,1728.4,7440.0
ALEXANDRIA,US,2007,4,321.6666666666667,900.0
ALEXANDRIA,US,2008,5,405.0,900.0
ALEXANDRIA,US,2009,5,1692.6,3900.0
ALEXANDRIA,US,2010,1,300.0,300.0
ALEXANDRIA,US,2011,5,45.666666666666664,120.0
ALEXANDRIA,US,2012,9,120.0,240.0
ALEXANDRIA,US,2013,6,309.6,600.0
ALEXANDRIA,US,2014,1,2.0,2.0
ALEXANDRIA (INDEPENDENT CITY??),US,2006,1,,
ALFALFA,US,1999,1,10.0,10.0
ALFORD (ABERDEENSHIRE)(UK/SCOTLAND),GB,2013,1,600.0,600.0
ALFRED,US,2006,1,,
ALFRED,US,2009,1,,
ALFRETON (UK/ENGLAND),GB,2007,1,300.0,300.0
ALFRETON (UK/ENGLAND),GB,2012,1,,
ALGER,US,2004,2,9.0,15.0
ALGIERS,US,2010,1,,
ALGODONES,US,2012,1,2.0,2.0
ALGODONES,US,2013,1,60.0,60.0
ALGOMA,US,2011,1,,
ALGOMA,US,2012,1,60.0,60.0
ALGONA,US,2002,1,2.0,2.0
ALGONA,US,2006,1,3600.0,3600.0
ALGONA,US,2009,1,,
ALGONA,US,2012,1,,
ALGONAC,US,2000,1,,
ALGONAC,US,2004,1,,
ALGONAC,US,2006,1,30.0,30.0
ALGONAC,US,2010,2,420.0,420.0
ALGONAC,US,2011,1,1200.0,1200.0
ALGONQUIN,US,2001,1,,
ALGONQUIN,US,2008,1,10.0,10.0
ALGONQUIN,US,2009,1,,
ALGONQUIN,US,2011,2,,
ALGONQUIN,US,2012,1,5.0,5.0
ALGONQUIN,US,2013,1,900.0,900.0
ALGONQUIN PARK (CANADA),CA,2000,2,360.0,360.0
ALGONQUIN PARK (CANADA),CA,2002,1,,
ALGONQUIN PARK (CANADA),CA,2003,1,,
ALGONQUIN PARK (CANADA),CA,2004,1,,
ALGONQUIN PARK (CANADA),CA,2006,1,480.0,480.0
ALGONQUIN PARK (ONTARIO) (CANADA),CA,2007,1,,
ALGOOD,US,2007,1,,
ALHAMBRA,US,1999,1,3.0,3.0
ALHAMBRA,US,2000,1,7.0,7.0
ALHAMBRA,US,2002,2,120.0,120.0
ALHAMBRA,US,2003,1,,
ALHAMBRA,US,2004,1,300.0,300.0
ALHAMBRA,US,2006,2,5.0,5.0
ALHAMBRA,US,2009,1,5.0,5.0
ALHAMBRA,US,2011,1,60.0,60.0
ALHAMBRA,US,2013,1,3.0,3.0
ALICE,US,2003,2,160.0,300.0
ALICE,US,2005,1,,
ALICE,US,2006,1,1200.0,1200.0
ALICE,US,2007,1,600.0,600.0
ALICE,US,2011,2,660.0,1200.0
ALICE,US,2012,1,0.0,0.0
ALICE SPRINGS  (NT&#44 AUSTRALIA),AU,1999,2,2.5,5.0
ALICE SPRINGS  (NT&#44 AUSTRALIA),AU,2004,1,0.0,0.0
ALICE SPRINGS  (NT&#44 AUSTRALIA),AU,2005,1,20.0,20.0
ALICE SPRINGS (AUSTRALIA),AU,2011,1,720.0,720.0
ALIQUIPPA,US,2012,2,8.5,15.0
ALISO VIEJO,US,2001,1,90.0,90.0
ALISO VIEJO,US,2005,1,,
ALISO VIEJO,US,2006,1,20.0,20.0
ALISO VIEJO,US,2007,2,120.0,120.0
ALISO VIEJO,US,2009,1,,
ALISO VIEJO,US,2011,1,1800.0,1800.0
ALISO VIEJO,US,2012,1,,
ALLEGAN,US,2000,2,180.0,180.0
ALLEGAN,US,2004,1,120.0,120.0
ALLEGAN,US,2008,1,300.0,300.0
ALLEGANY,US,2002,1,600.0,600.0
ALLEGANY,US,2004,1,300.0,300.0
ALLEGANY,US,2005,1,180.0,180.0
ALLEGANY (NEAR),US,2009,1,,
ALLEN,US,1999,1,18000.0,18000.0
ALLEN,US,2003,1,120.0,120.0
ALLEN,US,2006,1,900.0,900.0
ALLEN,US,2007,2,,
ALLEN,US,2008,1,,
ALLEN,US,2009,2,1650.0,2700.0
ALLEN,US,2010,3,365.0,720.0
ALLEN,US,2011,3,75.0,120.0
ALLEN PARK,US,2001,1,30.0,30.0
ALLEN PARK,US,2008,1,60.0,60.0
ALLEN PARK,US,2012,2,600.0,600.0
ALLENDALE,US,2001,1,1200.0,1200.0
ALLENDALE,US,2005,1,300.0,300.0
ALLENDALE,US,2008,1,1800.0,1800.0
ALLENDALE,US,2009,1,,
ALLENDALE,US,2011,1,,
ALLENDORF,US,2013,1,1800.0,1800.0
ALLENHURST,US,2007,2,5.0,5.0
ALLENSPARK,US,2010,1,,
ALLENSPARK,US,2013,2,5.0,5.0
ALLENTOWN,US,1998,1,1800.0,1800.0
ALLENTOWN,US,1999,3,155.0,300.0
ALLENTOWN,US,2000,1,,
ALLENTOWN,US,2001,1,,
ALLENTOWN,US,2003,1,,
ALLENTOWN,US,2004,2,180.0,180.0
ALLENTOWN,US,2005,1,60.0,60.0
ALLENTOWN,US,2006,3,7200.0,7200.0
ALLENTOWN,US,2007,6,4650.0,21600.0
ALLENTOWN,US,2008,4,157.5,300.0
ALLENTOWN,US,2009,3,609.0,1800.0
ALLENTOWN,US,2010,1,10.0,10.0
ALLENTOWN,US,2011,1,,
ALLENTOWN,US,2012,8,512.5,1500.0
ALLENTOWN,US,2013,5,435.0,1200.0
ALLENTOWN (EAST SIDE),US,2014,1,1200.0,1200.0
ALLENTOWN (UPPER MACUNGIE TWSP),US,2013,1,,
ALLENWOOD,US,2012,1,30.0,30.0
ALLIANCE,US,2001,1,0.0,0.0
ALLIANCE,US,2003,1,,
ALLIANCE,US,2007,1,20.0,20.0
ALLIANCE,US,2009,2,1800.0,1800.0
ALLIANCE,US,2013,1,480.0,480.0
ALLISON,US,2009,1,1200.0,1200.0
ALLISON PARK,US,1998,1,240.0,240.0
ALLISON PARK,US,2003,1,45.0,45.0
ALLISON PARK,US,2007,1,180.0,180.0
ALLISON PARK,US,2010,2,1860.0,3600.0
ALLISON PARK,US,2012,1,3600.0,3600.0
ALLISON PARK (HAMPTON TWP.),US,1999,1,360.0,360.0
ALLISTON (CANADA),CA,2012,3,,
ALLISTON (CANADA),CA,2013,1,300.0,300.0
ALLOA (UK/SCOTLAND),GB,2002,1,300.0,300.0
ALLORA (AUSTRALIA),AU,2002,1,,
ALLOUEZ (NEAR GREENE ISLE PARK ENTRANCE&#44 FACING BELLEVUE ST),US,2014,1,300.0,300.0
ALLOWAY,US,2010,1,21600.0,21600.0
ALLOWAY,US,2013,1,120.0,120.0
ALLOY,US,2004,1,10.0,10.0
ALLSTON,US,2001,1,5400.0,5400.0
ALLSTON,US,2005,1,10.0,10.0
ALLYN,US,2002,1,10800.0,10800.0
ALLYN,US,2012,1,,
ALMA,US,2000,2,12.5,15.0
ALMA,US,2001,1,3600.0,3600.0
ALMA,US,2005,1,25.0,25.0
ALMA,US,2006,1,0.0,0.0
ALMA,US,2008,1,0.0,0.0
ALMA,US,2009,1,,
ALMA,US,2010,2,22.5,45.0
ALMA,US,2011,2,451.5,900.0
ALMA,US,2013,1,,
ALMA CENTER,US,2003,1,120.0,120.0
ALMA CENTER,US,2011,1,10.0,10.0
ALMENA,US,2003,1,14400.0,14400.0
ALMOND,US,2008,1,,
ALMONT,US,1999,2,307.5,600.0
ALMONT,US,2005,1,120.0,120.0
ALMONT,US,2008,1,1800.0,1800.0
ALOHA,US,1998,1,,
ALOHA,US,2000,2,277.5,540.0
ALOHA,US,2001,1,720.0,720.0
ALOHA,US,2002,3,157.5,300.0
ALOHA,US,2003,2,8.5,15.0
ALOHA,US,2004,1,180.0,180.0
ALOHA,US,2006,2,30.5,60.0
ALOHA,US,2007,1,,
ALOHA,US,2011,2,120.0,120.0
ALOHA,US,2013,1,180.0,180.0
ALOHA,US,2014,1,480.0,480.0
ALPENA,US,1999,1,120.0,120.0
ALPENA,US,2009,1,,
ALPENA (NEAR),US,2007,1,300.0,300.0
ALPHA,US,2004,1,1200.0,1200.0
ALPHARETTA,US,2001,1,900.0,900.0
ALPHARETTA,US,2003,1,30.0,30.0
ALPHARETTA,US,2004,1,20.0,20.0
ALPHARETTA,US,2006,2,120.0,120.0
ALPHARETTA,US,2007,3,610.0,1200.0
